station,datetime,pm25_ugm3,co_mgm3,no2_ugm3,o3_ugm3,pm10_ugm3,so2_ugm3,wind_direction_deg,humidity_pct,uv_index,pressure_hpa,solar_radiation_wm2,temperature_c,wind_speed_ms,precipitation_mm
BELISARIO,2004-01-01,15.596875,1.7647547043010752,24.712916666666665,55.775103270609314,25.5,18.652395336017648,146.21911991584852,81.29155776230547,,720.9232544413277,192.73520833333333,12.547426659654043,1.700466631603553,41.0
BELISARIO,2004-02-01,16.371666666666666,3.914899425287356,29.46180722495895,64.0250143678161,25.5,16.44179765241054,157.1717528735632,82.34018678160919,,720.4549712643678,174.27958333333333,12.327564655172415,1.4829454022988506,37.6
BELISARIO,2004-03-01,17.333958333333335,3.331206317204301,26.723978494623655,58.031213037634416,25.5,12.435992652646375,162.83292338709677,79.85012768817205,,727.3089112903225,165.19062499999998,13.127587365591397,1.5417405913978495,44.15
BELISARIO,2004-04-01,16.28729166666667,3.2831388888888893,27.98848611111111,36.23965972222222,25.5,11.98226958186101,159.67404166666665,86.03448611111111,,725.2427222222223,169.74958333333333,12.221972222222222,1.4150277777777778,154.6
BELISARIO,2004-05-01,15.448541666666667,3.6752620967741936,23.069206989247313,25.50985887096774,25.5,14.844393309016297,170.59806451612903,83.34639784946236,,722.8030107526881,173.66666666666666,12.749301075268816,1.512755376344086,32.1
BELISARIO,2004-06-01,12.821875,2.6585269736842108,20.068832289055972,33.2507291324273,25.5,10.011755257087799,176.9123296539961,67.47635627741228,,724.9087050438596,187.73895833333333,13.397863011695906,2.2536069781826362,0.7000000000000001
BELISARIO,2004-07-01,10.350416666666666,2.5841770784227895,26.27323252688172,23.880040322580644,25.5,9.168506335538648,172.71122311827955,71.91439516129032,,724.7602419354839,208.15125,12.542912186379928,1.8114247311827958,8.2
BELISARIO,2004-08-01,11.888958333333333,1.5732896505376344,23.01165994623656,36.917442204301075,25.5,5.576089186210296,174.04952956989248,62.279771505376345,,724.1838440860215,221.45499999999998,13.085201612903225,2.803212365591398,1.2
BELISARIO,2004-09-01,18.804569444444446,3.2062413194444446,30.346263888888892,41.11672222222222,25.5,11.560333480565369,173.24513194444444,75.27327083333333,,725.2379861111111,220.62645833333332,12.314222222222222,2.077048611111111,105.85
BELISARIO,2004-10-01,19.732782258064518,3.4079959677419356,31.482580645161292,30.234905913978494,25.5,12.94581169534396,145.53641129032258,86.19771505376345,,727.2875537634408,194.8841666666667,12.007405913978495,1.51744623655914,6.9
BELISARIO,2004-11-01,19.293222222222223,3.119682638888889,26.948222222222224,21.123425411785306,25.5,11.002832740129342,150.88715277777777,86.942375,,725.1263402777778,180.610625,11.985270833333335,1.4219027777777777,86.7
BELISARIO,2004-12-01,20.855750448028672,2.951521505376344,27.547455197132617,18.53640625,25.5,9.868136938336589,146.98114247311827,86.4886693548387,,723.9145026881721,189.19281249999997,11.988225806451613,1.4756182795698924,44.2
BELISARIO,2005-01-01,19.00516129032258,2.8181048387096777,23.812815860215053,21.432372311827955,25.5,19.35720441644746,148.05055107526883,83.8260752688172,,724.1563037634409,192.73520833333333,12.283467741935484,1.5296505376344085,23.4
BELISARIO,2005-02-01,17.89420605742297,2.9955489211309523,29.036992187499997,26.865835193452384,25.5,18.81812538320049,133.55700148809524,86.71612351190477,,724.3800148809523,174.27958333333333,12.729404761904762,1.6115252976190475,112.85
BELISARIO,2005-03-01,20.426695228494623,3.091895497311828,39.455681135357366,28.574006166982922,25.5,20.07750795030433,143.13138440860214,79.30153225806451,,727.8808400537634,165.19062499999998,13.35402553763441,1.414247311827957,129.85
BELISARIO,2005-04-01,17.685284722222224,2.910923611111111,34.098173611111115,26.71295138888889,25.5,21.606331664282305,164.4055972222222,71.79610416666667,,727.9598958333333,169.74958333333333,14.502555555555556,1.4417569444444445,90.2
BELISARIO,2005-05-01,16.82151747311828,2.9523665689149565,34.69669892473119,26.562400537634407,25.5,22.966038128534738,174.190188172043,66.57493951612904,,727.1227419354838,173.66666666666666,14.393467741935483,1.6043481182795698,38.6
BELISARIO,2005-06-01,16.259430555555557,2.932111111111111,31.442430555555553,27.33046527777778,25.5,19.79423749042061,171.34781944444444,66.04736111111112,,723.4366666666667,187.73895833333333,14.178652777777776,1.7231805555555557,31.55
BELISARIO,2005-07-01,11.099374999999998,2.534657258064516,33.68549731182795,39.6756938844086,25.5,20.21975633393327,177.39725806451614,55.01419354838709,,721.4778091397849,208.15125,14.465739247311829,2.4423655913978495,1.4
BELISARIO,2005-08-01,23.322601417399802,2.5818128360215056,32.19307795698925,42.42935483870968,25.5,19.8975991047118,180.80107526881721,56.60422043010753,,721.3377419354839,221.45499999999998,14.479032258064516,2.2886827956989246,39.3
BELISARIO,2005-09-01,25.38651388888889,1.074638888888889,33.84277083333333,32.18640972222222,25.5,20.743949750848824,190.9758611111111,59.33995833333333,,721.5582361111111,220.62645833333332,14.527694444444446,2.207777777777778,13.9
BELISARIO,2005-10-01,30.459354838709675,1.4353864247311827,45.57140334799609,24.313859206989246,25.5,20.98301011317035,155.52182795698926,72.32530913978495,,727.2690994623655,194.8841666666667,13.236926930596285,1.3550940860215055,79.85000000000001
BELISARIO,2005-11-01,29.988628091016547,1.3610030062134504,41.7902675482929,23.240373134920635,25.5,22.26912884477825,146.9573808106576,69.21486760204081,,721.7615128968254,180.610625,13.275068310657597,1.403772335600907,24.042857142857144
BELISARIO,2005-12-01,29.321875,1.7309543010752688,42.988998655913974,22.3745564516129,25.5,17.145002653560383,136.78806451612905,76.94520161290323,,719.9184744623656,189.19281249999997,12.533548387096774,1.3822983870967742,98.6
