unique_id,ds,predicted_RF,predicted_XGB
BELISARIO,2024-01-01,14.822142038370814,13.66692613364365
BELISARIO,2024-02-01,17.458558208262225,17.209383510407946
BELISARIO,2024-03-01,16.25395424886357,18.076158242020558
BELISARIO,2024-04-01,14.330263112134343,13.509712055367071
BELISARIO,2024-05-01,11.938356500050915,11.867114235286646
BELISARIO,2024-06-01,12.220775015345108,12.606120534684921
BELISARIO,2024-07-01,10.562542278207438,10.86415425387762
BELISARIO,2024-08-01,12.803475819654972,13.160121752933788
BELISARIO,2024-09-01,15.93560609870491,18.30231121995714
BELISARIO,2024-10-01,17.386053603285504,18.66450592172647
BELISARIO,2024-11-01,17.953469694150332,19.082979801686605
BELISARIO,2024-12-01,17.566223910448514,16.982566042971868
BELISARIO,2025-01-01,17.18148509840181,16.659717309485934
BELISARIO,2025-02-01,19.53627786621399,17.86204024439766
BELISARIO,2025-03-01,18.514318533486442,20.663582997116993
BELISARIO,2025-04-01,16.91886422522102,15.867873981636603
BELISARIO,2025-05-01,13.825759152897488,13.841001559619837
BELISARIO,2025-06-01,13.680701144371886,14.032041021135116
BELISARIO,2025-07-01,12.000591012490235,11.672818873800258
BELISARIO,2025-08-01,13.642922767838353,11.76115567894392
BELISARIO,2025-09-01,16.44928362563187,15.071000613954332
BELISARIO,2025-10-01,18.723767370811156,17.063042007808928
BELISARIO,2025-11-01,17.046309389617274,16.7931221757253
BELISARIO,2025-12-01,16.506293948610466,13.790669127536077
BELISARIO,2026-01-01,15.47899049323331,14.577268350135348
BELISARIO,2026-02-01,17.740583413853273,16.539336525258562
BELISARIO,2026-03-01,16.917062649277685,19.255346970353077
BELISARIO,2026-04-01,14.963866411654704,14.983259335201819
BELISARIO,2026-05-01,11.93815828871081,12.850318540458613
BELISARIO,2026-06-01,11.682039863901121,13.480283804681564
BELISARIO,2026-07-01,10.004349386311633,11.068458949007015
BELISARIO,2026-08-01,11.649821278264703,11.081766500191021
BELISARIO,2026-09-01,14.894661935364264,18.01109699228075
BELISARIO,2026-10-01,17.361694293547913,21.219652973537688
BELISARIO,2026-11-01,17.551719823415525,18.572280291112264
BELISARIO,2026-12-01,17.36479083716394,18.215953990054388
BELISARIO,2027-01-01,17.02423413754512,17.727625596534274
BELISARIO,2027-02-01,19.760805572047413,19.89747580176308
BELISARIO,2027-03-01,19.100185272115237,21.047597126755665
BELISARIO,2027-04-01,17.15477940424096,15.756079152268011
BELISARIO,2027-05-01,13.963963267897729,14.834494341735773
BELISARIO,2027-06-01,13.672942453756162,13.960877903249527
BELISARIO,2027-07-01,11.902567883159696,11.210822437681179
BELISARIO,2027-08-01,13.394379124928282,10.70387412519865
BELISARIO,2027-09-01,17.780898574161444,16.315470375802782
BELISARIO,2027-10-01,19.890360126844882,19.136075579052214
BELISARIO,2027-11-01,19.844800859032958,16.049715879948934
BELISARIO,2027-12-01,19.546462094920983,16.059275075030584
BELISARIO,2028-01-01,18.260077906674667,16.217173087607883
BELISARIO,2028-02-01,20.4533087589636,18.67580946570351
BELISARIO,2028-03-01,19.314779154162338,19.366543011460255
BELISARIO,2028-04-01,16.601043069482234,14.137060120743353
BELISARIO,2028-05-01,13.693285754567846,15.127039719943934
BELISARIO,2028-06-01,13.29787695458425,13.614812918451095
BELISARIO,2028-07-01,11.63380467657571,11.028461252130489
BELISARIO,2028-08-01,12.792407612856953,10.780851780490208
BELISARIO,2028-09-01,15.755284926208885,18.997725167062548
BELISARIO,2028-10-01,18.079096572981435,21.877294384365324
BELISARIO,2028-11-01,18.179524462414523,19.522040012868246
BELISARIO,2028-12-01,18.023449363905346,21.553840561938543
CARAPUNGO,2024-01-01,14.823162375041868,15.405339994389525
CARAPUNGO,2024-02-01,14.996871530658803,14.840668842671882
CARAPUNGO,2024-03-01,13.83753320628615,12.79786779413941
CARAPUNGO,2024-04-01,12.470699336762046,11.940399283091228
CARAPUNGO,2024-05-01,13.638431038971003,12.823442124807709
CARAPUNGO,2024-06-01,12.033850109577193,10.701669532352021
CARAPUNGO,2024-07-01,12.27602884976996,11.453051948547364
CARAPUNGO,2024-08-01,15.822161950815325,15.370951524857553
CARAPUNGO,2024-09-01,21.357594408580255,23.17484600533379
CARAPUNGO,2024-10-01,14.009913768138032,13.502639313883535
CARAPUNGO,2024-11-01,11.695757399165615,11.15825025982327
CARAPUNGO,2024-12-01,13.415901811707101,11.489459129251461
CARAPUNGO,2025-01-01,13.272880419160709,11.75015000339221
CARAPUNGO,2025-02-01,13.834433395162787,11.9736248706565
CARAPUNGO,2025-03-01,13.405985606264341,11.060753722293402
CARAPUNGO,2025-04-01,11.991112994119526,11.20087938896815
CARAPUNGO,2025-05-01,14.029355921803978,15.157922887289399
CARAPUNGO,2025-06-01,14.24658873992671,13.256903010898164
CARAPUNGO,2025-07-01,13.91239280512679,14.084266805648804
CARAPUNGO,2025-08-01,18.144865776851375,18.105017295960458
CARAPUNGO,2025-09-01,23.909671662924325,26.413831543816457
CARAPUNGO,2025-10-01,16.899920775297176,17.99833585853075
CARAPUNGO,2025-11-01,14.694460405597049,16.247741627163357
CARAPUNGO,2025-12-01,16.05332171776341,20.097159477151852
CARAPUNGO,2026-01-01,16.099823795172842,18.657097616154662
CARAPUNGO,2026-02-01,16.36684535947668,17.668851063130866
CARAPUNGO,2026-03-01,16.06665553856199,17.026516814334418
CARAPUNGO,2026-04-01,14.056165579047072,17.1639211713473
CARAPUNGO,2026-05-01,15.23816673353389,19.052787208044403
CARAPUNGO,2026-06-01,14.208266727408704,15.72826274066501
