Model,RMSE (avg),MAE (avg),MAPE (avg) %
ARIMA (Seasonal),2.8011838387541257,2.1418745415790266,15.669235317860647
XGBoost (Tuned),2.802727863563102,2.1554949682167734,17.69555040506958
LSTM (BELISARIO),2.9976071384816634,2.48356558130908,15.290613054258515
MLForecast (RF),3.154433476899935,2.50049499204623,18.688084272724748
MLForecast (XGB),3.7891156892420224,3.0800440011370176,23.39478409850248
