unique_id,ds,y,predicted_RF,predicted_XGB
BELISARIO,2024-01-01,14.635985215053765,14.822142038370815,13.66692613364365
BELISARIO,2024-02-01,14.816824712643678,17.458558208262225,17.209383510407946
BELISARIO,2024-03-01,17.20752688172043,16.25395424886357,18.076158242020558
BELISARIO,2024-04-01,19.99235416666667,14.330263112134343,13.509712055367071
BELISARIO,2024-05-01,16.43505336812144,11.938356500050915,11.867114235286646
BELISARIO,2024-06-01,15.079506944444445,12.220775015345108,12.606120534684921
BELISARIO,2024-07-01,9.912661290322582,10.562542278207438,10.86415425387762
BELISARIO,2024-08-01,14.04940188172043,12.803475819654972,13.160121752933788
BELISARIO,2024-09-01,20.184006944444445,15.93560609870491,18.30231121995714
BELISARIO,2024-10-01,20.664717741935483,17.386053603285504,18.66450592172647
BELISARIO,2024-11-01,27.358061921296297,17.953469694150332,19.082979801686605
BELISARIO,2024-12-01,16.493337819650066,17.566223910448514,16.982566042971868
BELISARIO,2025-01-01,14.877083333333333,17.18148509840181,16.659717309485934
BELISARIO,2025-02-01,15.09034226190476,19.53627786621399,17.86204024439766
BELISARIO,2025-03-01,14.638405885073418,18.514318533486442,20.663582997116993
BELISARIO,2025-04-01,15.511404569892473,16.91886422522102,15.867873981636603
BELISARIO,2025-05-01,13.174569892473118,13.825759152897488,13.841001559619837
BELISARIO,2025-06-01,11.772837962962962,13.680701144371886,14.032041021135116
BELISARIO,2025-07-01,9.340927419354838,12.000591012490235,11.672818873800258
BELISARIO,2025-08-01,12.062782258064514,13.642922767838353,11.76115567894392
BELISARIO,2025-09-01,13.022965277777777,16.44928362563187,15.071000613954332
BELISARIO,2025-10-01,16.568929211469534,18.723767370811156,17.063042007808928
BELISARIO,2025-11-01,17.139930555555555,17.046309389617274,16.7931221757253
BELISARIO,2025-12-01,17.47828629032258,16.506293948610466,13.790669127536077
CARAPUNGO,2024-01-01,17.490376344086023,14.823162375041868,15.405339994389525
CARAPUNGO,2024-02-01,14.698772204806689,14.996871530658803,14.840668842671882
CARAPUNGO,2024-03-01,14.907701612903226,13.83753320628615,12.79786779413941
CARAPUNGO,2024-04-01,16.76959695165945,12.470699336762046,11.940399283091228
CARAPUNGO,2024-05-01,14.33075940860215,13.638431038971003,12.823442124807709
CARAPUNGO,2024-06-01,12.011861111111113,12.033850109577195,10.701669532352021
CARAPUNGO,2024-07-01,12.456747311827957,12.276028849769958,11.453051948547364
CARAPUNGO,2024-08-01,15.968373655913977,15.822161950815325,15.370951524857553
CARAPUNGO,2024-09-01,22.09037402534113,21.357594408580255,23.17484600533379
CARAPUNGO,2024-10-01,18.669710844068277,14.009913768138034,13.502639313883535
CARAPUNGO,2024-11-01,20.46509502593708,11.695757399165615,11.15825025982327
CARAPUNGO,2024-12-01,10.07920060483871,13.415901811707101,11.489459129251461
CARAPUNGO,2025-01-01,11.806545698924731,13.272880419160709,11.75015000339221
CARAPUNGO,2025-02-01,13.093080357142856,13.834433395162787,11.9736248706565
CARAPUNGO,2025-03-01,13.330774176606125,13.405985606264341,11.060753722293402
CARAPUNGO,2025-04-01,13.930418055555556,11.991112994119526,11.20087938896815
CARAPUNGO,2025-05-01,12.683635752688172,14.029355921803978,15.157922887289399
CARAPUNGO,2025-06-01,14.430625,14.246588739926711,13.256903010898164
CARAPUNGO,2025-07-01,13.01678667434716,13.912392805126789,14.084266805648804
CARAPUNGO,2025-08-01,16.115198252688174,18.144865776851375,18.105017295960458
CARAPUNGO,2025-09-01,17.42974007936508,23.909671662924325,26.413831543816457
CARAPUNGO,2025-10-01,16.844710872162487,16.899920775297176,17.99833585853075
CARAPUNGO,2025-11-01,13.320382936507938,14.694460405597049,16.247741627163357
CARAPUNGO,2025-12-01,17.000927419354838,16.05332171776341,20.097159477151852
CENTRO,2024-01-01,16.322909335288365,14.820328485752075,15.102500034147692
CENTRO,2024-02-01,14.934880268199233,15.527695390638987,14.461121028718495
CENTRO,2024-03-01,15.202746177755374,13.60863685834193,13.874085492677587
CENTRO,2024-04-01,17.813680729166666,14.185550474123941,13.523039362165663
CENTRO,2024-05-01,14.570006720430106,13.929010440901356,14.160269221823702
CENTRO,2024-06-01,13.306291666666668,13.294898001770205,14.634424204614428
CENTRO,2024-07-01,8.852204301075268,12.56524800892069,13.024059470802225
CENTRO,2024-08-01,12.800901035444046,14.564197570105215,13.893523091552078
CENTRO,2024-09-01,17.171962541216992,18.134432226891057,19.78053454844157
CENTRO,2024-10-01,17.527506720430107,18.19413915672479,19.530916882966153
CENTRO,2024-11-01,21.81170138888889,19.558975092192462,20.859772533840605
CENTRO,2024-12-01,13.906255720053835,18.672622986280366,21.231274669401106
CENTRO,2025-01-01,13.454684139784947,17.316987414341284,20.559219909483385
CENTRO,2025-02-01,13.502247023809524,17.01499377224913,19.773772186097645
CENTRO,2025-03-01,12.811505376344087,15.330552175181674,18.871999806947606
CENTRO,2025-04-01,13.639038888888889,15.849878455777858,17.859827539655896
CENTRO,2025-05-01,11.79008064516129,14.91667281100324,16.951480350058567
CENTRO,2025-06-01,10.449222222222222,14.226303496434076,16.641027683999802
CENTRO,2025-07-01,9.05099761620704,13.578443193576799,13.881612356811441
CENTRO,2025-08-01,10.122056451612904,15.222219062393284,15.382758254287063
CENTRO,2025-09-01,10.72561111111111,18.014669031101146,19.489573193470637
CENTRO,2025-10-01,14.585220430107528,18.669160208700042,18.42098767897903
CENTRO,2025-11-01,15.533958333333334,18.698265237227176,15.24861273235745
CENTRO,2025-12-01,15.90448252688172,17.17855510485561,17.101161067716536
