station,datetime,actual,predicted_ARIMA
BELISARIO,2024-01-01,14.635985215053765,13.546036717988466
BELISARIO,2024-02-01,14.816824712643678,14.758023289576762
BELISARIO,2024-03-01,17.20752688172043,15.099988937817121
BELISARIO,2024-04-01,19.99235416666667,13.709449008786596
BELISARIO,2024-05-01,16.43505336812144,13.119609529618549
BELISARIO,2024-06-01,15.079506944444445,11.618324929074893
BELISARIO,2024-07-01,9.912661290322582,9.792676914725604
BELISARIO,2024-08-01,14.04940188172043,11.139810661561194
BELISARIO,2024-09-01,20.184006944444445,13.492362292183113
BELISARIO,2024-10-01,20.664717741935483,15.795410877226669
BELISARIO,2024-11-01,27.358061921296297,16.97619408186739
BELISARIO,2024-12-01,16.493337819650066,14.642143381355025
BELISARIO,2025-01-01,14.877083333333333,13.870090759465171
BELISARIO,2025-02-01,15.09034226190476,14.799515385559934
BELISARIO,2025-03-01,14.638405885073418,15.064592081715613
BELISARIO,2025-04-01,15.511404569892473,13.602960444579216
BELISARIO,2025-05-01,13.174569892473118,12.967562472260822
BELISARIO,2025-06-01,11.772837962962962,11.44153719853375
BELISARIO,2025-07-01,9.340927419354838,9.605770461075885
BELISARIO,2025-08-01,12.062782258064514,10.92206045048844
BELISARIO,2025-09-01,13.022965277777777,13.240349769093273
BELISARIO,2025-10-01,16.568929211469534,15.513452150980635
BELISARIO,2025-11-01,17.139930555555555,16.67705261788263
BELISARIO,2025-12-01,17.47828629032258,14.359111530536612
BELISARIO,2024-01-01,,13.546036717988466
BELISARIO,2024-02-01,,14.758023289576762
BELISARIO,2024-03-01,,15.099988937817121
BELISARIO,2024-04-01,,13.709449008786596
BELISARIO,2024-05-01,,13.119609529618549
BELISARIO,2024-06-01,,11.618324929074893
BELISARIO,2024-07-01,,9.792676914725604
BELISARIO,2024-08-01,,11.139810661561194
BELISARIO,2024-09-01,,13.492362292183113
BELISARIO,2024-10-01,,15.795410877226669
BELISARIO,2024-11-01,,16.97619408186739
BELISARIO,2024-12-01,,14.642143381355025
BELISARIO,2025-01-01,,13.870090759465171
BELISARIO,2025-02-01,,14.799515385559934
BELISARIO,2025-03-01,,15.064592081715613
BELISARIO,2025-04-01,,13.602960444579216
BELISARIO,2025-05-01,,12.967562472260822
BELISARIO,2025-06-01,,11.44153719853375
BELISARIO,2025-07-01,,9.605770461075885
BELISARIO,2025-08-01,,10.92206045048844
BELISARIO,2025-09-01,,13.240349769093273
BELISARIO,2025-10-01,,15.513452150980635
BELISARIO,2025-11-01,,16.67705261788263
BELISARIO,2025-12-01,,14.359111530536612
BELISARIO,2026-01-01,,13.590614865191327
BELISARIO,2026-02-01,,14.509394750221302
BELISARIO,2026-03-01,,14.770440838791755
BELISARIO,2026-04-01,,13.320665814032282
BELISARIO,2026-05-01,,12.690100562538616
BELISARIO,2026-06-01,,11.177095103787806
BELISARIO,2026-07-01,,9.357283245360586
BELISARIO,2026-08-01,,10.661538513093314
BELISARIO,2026-09-01,,12.958943143769321
BELISARIO,2026-10-01,,15.21162496314168
BELISARIO,2026-11-01,,16.364743241465607
BELISARIO,2026-12-01,,14.067400806056165
BELISARIO,2027-01-01,,13.30570566284516
BELISARIO,2027-02-01,,14.2162543481714
BELISARIO,2027-03-01,,14.47494609102018
BELISARIO,2027-04-01,,13.03808240089968
BELISARIO,2027-05-01,,12.413127755374923
BELISARIO,2027-06-01,,10.913606811501715
BELISARIO,2027-07-01,,9.110018444948253
BELISARIO,2027-08-01,,10.402637024654215
BELISARIO,2027-09-01,,12.679548888863009
BELISARIO,2027-10-01,,14.912137764550526
BELISARIO,2027-11-01,,16.054970274067756
BELISARIO,2027-12-01,,13.778115602836722
BELISARIO,2028-01-01,,13.02321284105314
BELISARIO,2028-02-01,,13.925640184637981
BELISARIO,2028-03-01,,14.182024364502121
BELISARIO,2028-04-01,,12.75797510107848
BELISARIO,2028-05-01,,12.138593928852943
BELISARIO,2028-06-01,,10.652446368065444
BELISARIO,2028-07-01,,8.864943262980098
BELISARIO,2028-08-01,,10.146033506621137
BELISARIO,2028-09-01,,12.402638602740137
BELISARIO,2028-10-01,,14.61531602153374
BELISARIO,2028-11-01,,15.747956114324467
BELISARIO,2028-12-01,,13.491407631190489
CARAPUNGO,2024-01-01,17.490376344086023,15.001361218838603
CARAPUNGO,2024-02-01,14.698772204806689,15.670033107341043
CARAPUNGO,2024-03-01,14.907701612903226,15.282223731066004
CARAPUNGO,2024-04-01,16.76959695165945,15.578330902639184
CARAPUNGO,2024-05-01,14.33075940860215,15.453631107868514
CARAPUNGO,2024-06-01,12.011861111111113,16.25984207764947
CARAPUNGO,2024-07-01,12.456747311827957,15.53986345338174
CARAPUNGO,2024-08-01,15.968373655913977,17.734438479075944
CARAPUNGO,2024-09-01,22.09037402534113,20.696774778605853
CARAPUNGO,2024-10-01,18.669710844068277,18.650260462461908
CARAPUNGO,2024-11-01,20.46509502593708,17.26906698815284
CARAPUNGO,2024-12-01,10.07920060483871,15.70811857436512
CARAPUNGO,2025-01-01,11.806545698924731,15.033320157317776
CARAPUNGO,2025-02-01,13.093080357142856,15.132167294925445
CARAPUNGO,2025-03-01,13.330774176606125,15.299879426710197
CARAPUNGO,2025-04-01,13.930418055555556,15.222577177046798
CARAPUNGO,2025-05-01,12.683635752688172,15.465404872192318
CARAPUNGO,2025-06-01,14.430625,15.988078820963407
CARAPUNGO,2025-07-01,13.01678667434716,15.551218441446311
CARAPUNGO,2025-08-01,16.115198252688174,17.46495110658312
CARAPUNGO,2025-09-01,17.42974007936508,20.42891903389017
